Loading core dump: .\Order.API-11.dmp ...
Statistics:
          MT  Count  TotalSize Class Name
7ffcd0e60938      1         24 Microsoft.AspNetCore.Components.PersistentServiceRegistration<Microsoft.AspNetCore.Components.Forms.AntiforgeryStateProvider>
7ffcd0e61168      1         24 Microsoft.AspNetCore.Mvc.Razor.TagHelpers.TagHelperFeatureProvider
7ffcd0e61530      1         24 Microsoft.AspNetCore.Mvc.ApplicationParts.RazorCompiledItemFeatureProvider
7ffcd0e6dad0      1         24 Microsoft.Extensions.DependencyInjection.MvcRazorPagesMvcCoreBuilderExtensions+<>c
7ffcd0e6e4e8      1         24 EventBus.Kafka.EventBusKafkaHelper+<>c__DisplayClass2_0
7ffcd0f33de0      1         24 FluentValidation.AssemblyScanner+<>c
7ffcd0f373f0      1         24 Microsoft.Extensions.DependencyInjection.MediatRServiceConfiguration+<>c
7ffcd0f37c68      1         24 MediatR.NotificationPublishers.ForeachAwaitPublisher
7ffcd0f38bb8      1         24 MediatR.Registration.ServiceRegistrar+<>c
7ffcd04dacb8      1         24 System.ModuleHandle
7ffcd1cf0a50      1         24 System.Buffers.SharedArrayPool<System.Reflection.PropertyInfo>+<>c
7ffcd1cf0cc8      1         24 System.Linq.Enumerable+EnumerableSorter<System.Reflection.PropertyInfo>+<>c
7ffcd1cf0f88      1         24 System.Text.Json.JsonCamelCaseNamingPolicy+<>c
7ffcd116d6c8      1         24 System.Buffers.SharedArrayPool<System.Type>+<>c
7ffcd116e5b8      1         24 Microsoft.Extensions.Hosting.HostingHostBuilderExtensions+<>c__DisplayClass10_0<Autofac.ContainerBuilder>
7ffcd116eba8      1         24 Microsoft.AspNetCore.Builder.ConfigureHostBuilder+<>c__DisplayClass10_0<Autofac.ContainerBuilder>
7ffcd116ecd0      1         24 Autofac.Extensions.DependencyInjection.AutofacServiceProviderFactory+<>c
7ffcd116f058      1         24 Microsoft.AspNetCore.Builder.ConfigureHostBuilder+ServiceProviderFactoryAdapter<Autofac.ContainerBuilder>
7ffcd05f9128      1         24 Order.API.Program+<>c
7ffcd116f840      1         24 Serilog.SerilogServiceCollectionExtensions+<>c
7ffcd116fc98      1         24 Serilog.SerilogServiceCollectionExtensions+<>c__DisplayClass4_0
7ffcd1174aa8      1         24 System.Collections.Generic.ObjectEqualityComparer<Autofac.Core.Service>
7ffcd11751c8      1         24 Autofac.Core.Registration.IServiceMiddlewareSource[]
7ffcd11761a0      1         24 Autofac.Core.InternalReflectionCaches+<>c
7ffcd1194488      1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheAssemblyDictionary<System.Reflection.Assembly, System.Collections.Generic.IEnumerable<System.Type>>>
7ffcd1195900      1         24 Autofac.Core.ReflectionCacheSet+CacheFactory<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Boolean>>+<>c
7ffcd1195ac0      1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Boolean>>
7ffcd11964b8      1         24 Autofac.Core.ReflectionCacheSet+CacheFactory<Autofac.Util.Cache.ReflectionCacheTupleDictionary<System.Type, System.Boolean>>+<>c
7ffcd1196658      1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheTupleDictionary<System.Type, System.Boolean>>
7ffcd1197620      1         24 Autofac.Core.ReflectionCacheSet+CacheFactory<Autofac.Util.Cache.ReflectionCacheDictionary<System.Reflection.ConstructorInfo, System.Func<System.Object[], System.Object>>>+<>c
7ffcd11977c0      1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheDictionary<System.Reflection.ConstructorInfo, System.Func<System.Object[], System.Object>>>
7ffcd1197f38      1         24 System.Collections.Generic.ObjectEqualityComparer<System.Reflection.ConstructorInfo>
7ffcd11981f8      1         24 Autofac.Core.ReflectionCacheSet+CacheFactory<Autofac.Util.Cache.ReflectionCacheDictionary<System.Reflection.PropertyInfo, System.Action<System.Object, System.Object>>>+<>c
7ffcd1198398      1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheDictionary<System.Reflection.PropertyInfo, System.Action<System.Object, System.Object>>>
7ffcd1198b00      1         24 System.Collections.Generic.ObjectEqualityComparer<System.Reflection.PropertyInfo>
7ffcd1198dc0      1         24 Autofac.Core.ReflectionCacheSet+CacheFactory<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Collections.Generic.IReadOnlyList<System.Reflection.PropertyInfo>>>+<>c
7ffcd1198f60      1         24 Autofac.Core.ReflectionCacheSet+<>c__10<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Collections.Generic.IReadOnlyList<System.Reflection.PropertyInfo>>>
7ffcd11996d8      1         24 Autofac.Core.ReflectionCacheSet+CacheFactory<Autofac.Util.Cache.ReflectionCacheDictionary<System.Type, System.Reflection.ConstructorInfo[]>>+<>c
