Loading core dump: .\Order.API-3.dmp ...
Statistics:
          MT   Count  TotalSize Class Name
7ffcf3ee7828       1         24 Polly.PollyServiceCollectionExtensions+<>c
7ffcf3ee80d8       1         24 Polly.PollyServiceCollectionExtensions+<>c__5<System.String>
7ffcf3ee93a8       1         24 Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions+<>c__1<Order.API.OrderSetting>
7ffcf3eea428       1         24 Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions+<>c__1<EventBus.SprintEventBusSetting>
7ffcf3eeac50       1         24 Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions+<>c__1<HttpExtension.SprintHttpCommonSetting>
7ffcf3eeb478       1         24 Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions+<>c__1<EventBus.Kafka.EventBusKafkaSetting>
7ffcf3eebca0       1         24 Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions+<>c__1<Utility.Package.Models.Jwt>
7ffcf3eeeec8       1         24 Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions+<>c
7ffcf3eec718       1         24 Microsoft.Extensions.DependencyInjection.DefaultHttpClientConfigurationTracker
7ffcf3f01438       1         24 Microsoft.Extensions.DependencyInjection.DefaultHttpClientBuilder+<>c
7ffcf3f01f20       1         24 Microsoft.Extensions.DependencyInjection.HttpClientBuilderExtensions+<>c__DisplayClass13_0<HttpFactory.Implementations.HttpClientService>
7ffcf3f020f8       1         24 Microsoft.Extensions.DependencyInjection.HttpClientBuilderExtensions+<>c
7ffcf3f02d50       1         24 Microsoft.AspNetCore.Mvc.ViewComponents.ViewComponentFeatureProvider
7ffcf3f113e0       1         24 Microsoft.Extensions.DependencyInjection.DataProtectionServiceCollectionExtensions+<>c
7ffcf3f137e0       1         24 Microsoft.Extensions.DependencyInjection.AntiforgeryServiceCollectionExtensions+<>c
7ffcf3f15a48       1         24 Microsoft.Extensions.DependencyInjection.EncoderServiceCollectionExtensions+<>c
7ffcf3f166b8       1         24 Microsoft.Extensions.DependencyInjection.MvcViewFeaturesMvcCoreBuilderExtensions+<>c
7ffcf3f60358       1         24 Microsoft.Extensions.DependencyInjection.RazorComponentsServiceCollectionExtensions+<>c
7ffcf3f61518       1         24 Microsoft.Extensions.DependencyInjection.CascadingValueServiceCollectionExtensions+<>c__DisplayClass3_0<Microsoft.AspNetCore.Http.HttpContext>
7ffcf3f62248       1         24 Microsoft.AspNetCore.Components.Web.InteractiveServerRenderMode
7ffcf3f62340       1         24 Microsoft.AspNetCore.Components.Web.InteractiveWebAssemblyRenderMode
7ffcf3f62150       1         24 Microsoft.AspNetCore.Components.Web.InteractiveAutoRenderMode
7ffcf3f62a40       1         24 Microsoft.AspNetCore.Components.PersistentServiceRegistration<Microsoft.AspNetCore.Components.ResourceCollectionProvider>
7ffcf3f637e8       1         24 Microsoft.AspNetCore.Components.Forms.Mapping.SupplyParameterFromFormServiceCollectionExtensions+<>c
7ffcf3f63950       1         24 Microsoft.AspNetCore.Components.PersistentServiceRegistration<Microsoft.AspNetCore.Components.Forms.AntiforgeryStateProvider>
7ffcf3f64180       1         24 Microsoft.AspNetCore.Mvc.Razor.TagHelpers.TagHelperFeatureProvider
7ffcf3f64548       1         24 Microsoft.AspNetCore.Mvc.ApplicationParts.RazorCompiledItemFeatureProvider
7ffcf3f80b48       1         24 Microsoft.Extensions.DependencyInjection.MvcRazorPagesMvcCoreBuilderExtensions+<>c
7ffcf3f81560       1         24 EventBus.Kafka.EventBusKafkaHelper+<>c__DisplayClass2_0
7ffcf40379e0       1         24 FluentValidation.AssemblyScanner+<>c
